id;Esboço ou foto;Proveniência;Nome geográfico|taxonomy|multiple|status_public;Stam;Descrição;Denominação;Número de inventário;Grupo étnico;Usado;Local|taxonomy|multiple|status_public;Fotógrafo|taxonomy|multiple|status_public;Coletado;País|taxonomy|multiple|status_public;Origem|taxonomy|multiple|status_public;Coletado por;Comprimento;Resumo;Palavras-chave|taxonomy|multiple|status_public;URL;Palavras-chave;documentação de imagem;foto digital não;Largura;Categoria de material|taxonomy|multiple|status_public;Categoria de material2|taxonomy|multiple|status_public;papel;Ação de conservação;Mudar para;requisitos de montagem;Texto da exposição;Exposição, parte de / incluída em;Exposição, parte do estande / incluída;Juntos, materiais;Texto publicado;Juntos, texto da exposição, inglês;Exposição / incluído em;Palavras-chave, espanhol;Área de uso;Nota: Descrição;Avaliação da condição;Observação;Exposição / anterior;Original: publ;Original: negativo não;Original: desenho não;Materiais / fabricação;Texto da exposição, Encruzilhada;Texto da exposição, Crossroads, eng;special_document;special_attachments
10;retrato falado;;Guiana Britânica;Wai-wai;Cesto com tampa, padrão xadrez.;cesta;1927.07.0008;Wai-Wai, Mawayana, Uaiuais, Wai-wai, Wai wai, Hixkaryana, Karapayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Guiana;Bela Adormecida, Beatriz;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0008, Walter Roth, Guiana, esboço, Wai-wai, Guiana Britânica, América, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;armazenamento||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37373;cesta;;;40 cm;espécime de planta;parte da planta;;;;;;;;;;;;;;;;;;;;;;;;file:10-15374140.png;10-15374145.png||10-15374120.png||10-15374135.png||10-15374095.png||10-15374085.png||10-15374090.png||10-15374125.png||10-15374130.png||10-15374115.png||10-15374100.png||10-15374110.png||10-15374105.png
11;retrato falado;;América;Wai-wai;Produto semi-acabado para cesta.;cesta;1927.07.0009;Hixkaryana, Wai wai, Karapayana, Uaiuais, Wai-wai, Wai-Wai, Mawayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Guiana;Bela Adormecida, Beatriz;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0009, produto semi-acabado, Walter Roth, Guiana, esboço, Wai-wai, Guiana Britânica, América, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;Etnografia||armazenamento;https://collections.smvk.se/carlotta-vkm/web/object/37374;cesta;;;30 cm;espécime de planta;parte da planta;produtos semi-acabados;;;;;;;;;;;;;;;;;;;;;;;file:11-15374150.png;11-15374190.png||11-15374185.png||11-15374180.png||11-15374155.png||11-15374165.png||11-15374170.png||11-15374160.png||11-15374175.png
12;retrato falado;;América;Wai-wai;Cesto com tampa, padrão xadrez.;cesta;1927.07.0006;Hixkaryana, Mawayana, Wai-Wai, Uaiuais, Wai wai, Wai-wai, Karapayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Guiana;Bela Adormecida, Beatriz;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0006, Walter Roth, Guiana, esboço, Wai-wai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;armazenamento||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37371;cesta;;;40 cm;espécime de planta;parte da planta;;;;;;;;;;;;;;;;;;;;;;;;file:12-15374010.png;12-15374005.png||12-15374015.png||12-15374000.png||12-15374040.png||12-15374025.png||12-15374030.png||12-15373990.png||12-15373995.png||12-15374020.png||12-15374035.png
13;retrato falado;;Guiana Britânica;Wai-wai;Cesto com tampa, padrão xadrez.;tampa;1927.07.0007;Wai-wai, Wai wai, Uaiuais, Wai-Wai, Hixkaryana, Mawayana, Karapayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Guiana;Bela Adormecida, Beatriz;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0007, Walter Roth, Guiana, esboço, Wai-wai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;armazenamento||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37372;cesta;;;34 cm;espécime de planta;parte da planta;;;;;;;;;;;;;;;;;;;;;;;;file:13-15374060.png;13-15374075.png||13-15374065.png||13-15374070.png||13-15374055.png||13-15374080.png||13-15374050.png||13-15374045.png
14;retrato falado;;Guiana Britânica;Waiwai;Ornamento quadril de pérolas e penas para mulheres. Emissão em falta em abril de 1950.;enfeite de quadril;1927.07.0207;Wai wai, Wai-Wai, Wai-wai, Hixkaryana, Karapayana, Uaiuais, Mawayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0207, foto digital, V: 1927-07-0207, Walter Roth, Br.Guiana, esboço, Waiwai, Conservation K 80: 159, Guiana Britânica, Guiana Britânica, América, Guiana, Wai-Wai, Wai wai, Hixkaryana , Mawayana, Uaiuais, Wai-wai, Karapayana;Cracidae: Crax alector||vagens||Psittacidae: Ara macao||Couro cabeludo||Etnografia||contas de vidro||vestuário e acessórios||fio de fibra vegetal||pena corporal;https://collections.smvk.se/carlotta-vkm/web/object/37809;;foto digital;V: 1927-07-0207;71 centímetros;;;;Conservação K 80: 159;;;;;;;;;;;;;;;;;;;;;;file:14-604701.png;14-1209922.png
15;retrato falado;;América;Waiwai;1 Kam.;Produtos semi-acabados e materiais para pentes.;1927.07.0259;Wai-Wai, Wai wai, Mawayana, Uaiuais, Karapayana, Wai-wai, Hixkaryana;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Schwetz, Ferenc;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;6 cm;1927.07.0259, Walter Roth, Br.Guiana, sketch, Waiwai, Guiana Britânica, América, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai, Karapayana;N / D;https://collections.smvk.se/carlotta-vkm/web/object/37929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;file:15-1225306.png;
16;retrato falado;;Guiana Britânica;Waiwai;Decoração do lábio inferior de penas para homens.;enfeite de lábio inferior;1927.07.0206;Hixkaryana, Mawayana, Wai wai, Uaiuais, Wai-wai, Wai-Wai, Karapayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;27 centímetros;1927.07.0206, foto digital, 1927-07-0206, Walter Roth, Br.Guiana, esboço, Waiwai, Guiana Britânica, América, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai , Karapayana;Subgump||contas de vidro||Etnografia||Ramphastidae: Ramphastos tucanus / vitellinus||fio de fibra vegetal;https://collections.smvk.se/carlotta-vkm/web/object/37808;;foto digital;1927-07-0206;;;;;;;;;;;;;;;;;;;;;;;;;;;file:16-1155465.png;16-402278.png
17;retrato falado;;América;Waiwai;Decoração do lábio inferior de penas para homens.;enfeite de lábio inferior;1927.07.0204;Wai wai, Wai-wai, Hixkaryana, Karapayana, Uaiuais, Wai-Wai, Mawayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;20 cm;1927.07.0204, foto digital, 1927-07-0204, Walter Roth, Br.Guiana, esboço, Waiwai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai , Karapayana;Undergump||Cotingidae: Cotinga cayana (ou possivelmente Thraupidae: Dacnis cayana?)||contas de vidro||fio de fibra vegetal||Momotidae: Momotus momota||Pena da cabeça||Etnografia||casca de semente||Ramphastidae: Ramphastos tucanus Kroffs spring;https://collections.smvk.se/carlotta-vkm/web/object/37805;;foto digital;1927-07-0204;;;;;;;;;;;;;;;;;;;;;;;;;;;file:17-1209914.png;17-604693.png
18;retrato falado;;América;Waiwai;Decoração do lábio inferior de penas para homens.;enfeite de lábio inferior;1927.07.0205;Wai-Wai, Mawayana, Wai wai, Hixkaryana, Wai-wai, Karapayana, Uaiuais;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;23 cm;1927.07.0205, foto digital, 1927-07-0205, Walter Roth, Br.Guiana, esboço, Waiwai, Guiana Britânica, Guiana Britânica, América, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai , Karapayana;Mola de penas||fio de fibra vegetal||contas de vidro||Undergump||Ramphastidae: Ramphastos tucanus / vitellinus||Etnografia||Sementes||Momotidae: Momotus momota;https://collections.smvk.se/carlotta-vkm/web/object/37806;;foto digital;1927-07-0205;;;;;;;;;;;;;;;;;;;;;;;;;;;file:18-604697.png;18-1209918.png
19;retrato falado;;Guiana Britânica;Waiwai;produtos semi-acabados e materiais para pente.;Produtos semi-acabados e materiais para pentes.;1927.07.0258;Mawayana, Hixkaryana, Uaiuais, Wai wai, Karapayana, Wai-Wai, Wai-wai;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Schwetz, Ferenc;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;18 cm;1927.07.0258, Walter Roth, Br.Guiana, sketch, Waiwai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai, Karapayana;N / D;https://collections.smvk.se/carlotta-vkm/web/object/37927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;file:19-1225302.png;
20;retrato falado;;América;Waiwai;Ornamento do lábio inferior de penas para mulheres.;enfeite de lábio inferior;1927.07.0202;Mawayana, Wai-wai, Uaiuais, Karapayana, Hixkaryana, Wai wai, Wai-Wai;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;11 cm;1927.07.0202, foto digital, 1927-07-0202, Walter Roth, Br.Guiana, esboço, Waiwai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai , Karapayana;fio de fibra vegetal||Undergump||Ramphastidae: tucanus / vitellinus||Etnografia||contas de vidro||vagens;https://collections.smvk.se/carlotta-vkm/web/object/37803;;foto digital;1927-07-0202;;;;;;;;;;;;;;;;;;;;;;;;;;;file:20-1209906.png;20-604685.png
21;retrato falado;;Guiana Britânica;Waiwai;Produtos semi-acabados e materiais para pentes.;Produtos semi-acabados e materiais para pentes.;1927.07.0257;Wai-Wai, Mawayana, Karapayana, Hixkaryana, Uaiuais, Wai-wai, Wai wai;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Schwetz, Ferenc;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;20,5 centímetros;1927.07.0257, Walter Roth, Br.Guiana, sketch, Waiwai, Guiana Britânica, América, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai, Karapayana;N / D;https://collections.smvk.se/carlotta-vkm/web/object/37924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;file:21-1225298.png;
22;retrato falado;;América;Waiwai;Decoração do lábio inferior de penas para homens.;enfeite de lábio inferior;1927.07.0203;Wai-Wai, Uaiuais, Wai wai, Mawayana, Wai-wai, Hixkaryana, Karapayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;10 cm;1927.07.0203, foto digital, 1927-07-0203, Walter Roth, Br.Guiana, esboço, Waiwai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai , Karapayana;vagens||contas de vidro||Undergump||fio de fibra vegetal||Ramphastidae: Ramphastos tucanus / vitellinus||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37804;;foto digital;1927-07-0203;;;;;;;;;;;;;;;;;;;;;;;;;;;file:22-604689.png;22-1209910.png
23;retrato falado;;Guiana Britânica;Wai-wai;Flauta de bambu, 4 furos. Queime a decoração.;flauta;1927.07.0162;Hixkaryana, Wai wai, Uaiuais, Karapayana, Wai-wai, Mawayana, Wai-Wai;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Anderzen, Hannes;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;44,5 centímetros;1927.07.0162, Walter Roth, Br.Guiana, sketch, Wai-wai, Guiana Britânica, América, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;instrumento musical||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37702;flauta;;;;espécime de planta;parte da planta;;;;;;;;;;;;;;;;;;;;;;;;file:23-1988116.png;23-1988120.png
24;retrato falado;;América;Waiwai;Suspensão para ocasiões especiais, de penas vermelhas.;anel de mola;1927.07.0214;Mawayana, Wai-Wai, Karapayana, Wai wai, Hixkaryana, Uaiuais, Wai-wai;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0214, foto digital, V: 1927-07-0214, Walter Roth, Br.Guiana, esboço, Waiwai, Guiana Britânica, Guiana Britânica, América, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai -wai, Karapayana;joalheria||tira de folha de palmeira||Ramphastidae: Ramphastos tucanus / vitellinus||Cobertura do braço||pena do corpo||Cotingidae: Xipholena punicea||fio de fibra vegetal||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37823;;foto digital;V: 1927-07-0214;;;;;;;;;;;;;;;;;;;;;;;;;;;file:24-1209946.png;24-1209950.png||24-604721.png
25;retrato falado;;Guiana Britânica;Waiwai;Pulseira de pérolas, para homem.;pulseira;1927.07.0215;Mawayana, Wai-Wai, Wai-wai, Uaiuais, Karapayana, Hixkaryana, Wai wai;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Anderzen, Hannes;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;22 cm;1927.07.0215, Walter Roth, Br.Guiana, sketch, Waiwai, Guiana Britânica, Guiana Britânica, América, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai, Karapayana;Etnografia||jóias;https://collections.smvk.se/carlotta-vkm/web/object/37824;pulseira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;file:25-2138740.png;25-2138735.png
26;retrato falado;;Guiana Britânica;Waiwai;Suspensão para ocasiões especiais, de penas vermelhas.;anel;1927.07.0212;Uaiuais, Karapayana, Wai-Wai, Hixkaryana, Wai wai, Wai-wai, Mawayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0212, foto digital, 1927-07-0212, Walter Roth, Br.Guiana, esboço, Waiwai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai , Karapayana;Ramphastidae: Ramphastos tucanus / vitellinus||tira de folha de palmeira||fio de fibra vegetal||Etnografia||pena do corpo||jóias;https://collections.smvk.se/carlotta-vkm/web/object/37821;;foto digital;1927-07-0212;;;;;;;;;;;;;;;;;;;;;;;;;;;file:26-402306.png;26-1155469.png
27;retrato falado;;Guiana Britânica;Wai-wai;Flauta de bambu, 4 furos. Queime a decoração.;flauta;1927.07.0160;Wai wai, Hixkaryana, Wai-wai, Mawayana, Uaiuais, Karapayana, Wai-Wai;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Schwetz, Ferenc;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;32 cm;1927.07.0160, Walter Roth, Br.Guiana, esboço, Wai-wai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;Etnografia||instrumento musical;https://collections.smvk.se/carlotta-vkm/web/object/37700;flauta;;;;espécime de planta;parte da planta;;;;;;;;;;;;;;;;;;;;;;;;file:27-1322982.png;
